"Percent of Transactions","Action_Transaction","T01_SIGNIN","T02_SELECT_CATEGORY","T03_SELECT_PRODUCT","T04_ADD_TO_CART","T05_CHECKOUT","T06_CONTINUE","T07_CONFIRM","T08_SIGNOUT","TRANSACTION_01_GET","TRANSACTION_02_GET","TRANSACTION_03_GETID","vuser_end_Transaction","vuser_init_Transaction"
"33","2.573","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.717","0.532","0.268","0","0.001"
"34","2.573","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.717","0.533","0.268","0","0.002"
"35","2.577","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.719","0.534","0.268","0","0.002"
"36","2.585","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.72","0.536","0.268","0","0.002"
"37","2.587","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.722","0.537","0.269","0","0.002"
"38","2.617","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.731","0.539","0.27","0","0.002"
"39","2.627","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.733","0.539","0.27","0","0.002"
"40","2.629","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.742","0.541","0.271","0","0.002"
"41","2.645","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.744","0.544","0.271","0","0.002"
"42","2.653","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.761","0.546","0.271","0","0.002"
"43","2.656","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.768","0.547","0.273","0","0.002"
"44","2.657","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.769","0.549","0.273","0","0.002"
"45","2.664","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.769","0.55","0.276","0","0.002"
"46","2.667","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.77","0.553","0.277","0","0.002"
"47","2.67","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.772","0.564","0.278","0","0.002"
"48","2.671","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.783","0.564","0.278","0","0.002"
"49","2.671","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.784","0.57","0.279","0","0.002"
"50","2.686","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.784","0.57","0.279","0","0.002"
"51","2.698","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.785","0.571","0.28","0","0.002"
"52","2.699","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.798","0.575","0.281","0","0.002"
"53","2.701","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.799","0.575","0.282","0","0.002"
"54","2.703","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.804","0.576","0.282","0","0.002"
"55","2.703","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.81","0.577","0.284","0","0.002"
"56","2.706","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.811","0.581","0.287","0","0.002"
"57","2.711","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.811","0.581","0.29","0","0.002"
"58","2.712","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.815","0.583","0.291","0","0.002"
"59","2.718","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.82","0.583","0.291","0","0.002"
"60","2.728","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.826","0.588","0.299","0","0.002"
"61","2.739","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.827","0.589","0.3","0","0.002"
"62","2.743","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.848","0.592","0.304","0","0.002"
"63","2.743","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.849","0.592","0.304","0","0.002"
"64","2.746","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.857","0.593","0.305","0","0.002"
"65","2.756","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.873","0.594","0.31","0","0.002"
"66","2.765","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.878","0.595","0.31","0","0.002"
"67","2.768","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.882","0.595","0.311","0.407","0.002"
"68","2.782","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.886","0.596","0.313","0.407","0.002"
"69","2.785","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.889","0.598","0.319","0.407","0.002"
"70","2.789","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.892","0.6","0.32","0.407","0.002"
"71","2.796","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.892","0.601","0.32","0.407","0.002"
"72","2.803","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.898","0.605","0.329","0.407","0.002"
"73","2.824","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.904","0.605","0.333","0.407","0.002"
"74","2.829","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.911","0.618","0.337","0.407","0.002"
"75","2.839","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.917","0.619","0.342","0.407","0.002"
"76","2.856","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.919","0.635","0.348","0.407","0.002"
"77","2.859","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.924","0.636","0.35","0.407","0.002"
"78","2.86","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.926","0.636","0.35","0.407","0.002"
"79","2.86","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.926","0.646","0.351","0.407","0.002"
"80","2.866","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.927","0.655","0.352","0.407","0.002"
"81","2.866","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.928","0.662","0.352","0.407","0.002"
"82","2.871","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.928","0.662","0.358","0.407","0.002"
"83","2.871","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.928","0.665","0.37","0.407","0.002"
"84","2.871","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.929","0.674","0.38","0.407","0.002"
"85","2.872","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.931","0.679","0.391","0.407","0.002"
"86","2.875","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.932","0.683","0.392","0.407","0.002"
"87","2.877","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.932","0.689","0.393","0.407","0.002"
"88","2.894","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.934","0.702","0.394","0.407","0.002"
"89","2.903","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.936","0.702","0.394","0.407","0.002"
"90","2.946","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.951","0.707","0.394","0.407","0.002"
"91","2.978","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.954","0.709","0.394","0.407","0.002"
"92","3.155","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.967","0.714","0.396","0.407","0.002"
"93","3.297","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.999","0.72","0.397","0.407","0.002"
"94","3.487","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","2.01","0.775","0.398","0.407","0.002"
"95","4.355","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","2.061","0.858","0.398","0.407","0.002"
"96","4.613","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","2.084","1.286","0.406","0.407","0.002"
"97","5.426","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","2.219","1.531","0.411","0.407","0.002"
"98","9.085","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","3.858","2.307","0.649","0.407","0.002"
"99","9.889","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","6.23","2.572","1.996","0.407","0.002"
"100","9.889","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","6.23","2.572","1.996","0.407","0.002"
